1380/07/01,102
1380/07/02,119
1380/07/03,128
1380/07/04,158
1380/07/05,98
1380/07/06,130
1380/07/07,118
1380/07/08,157
1380/07/09,100
1380/07/10,113
1380/07/11,92
1380/07/12,120
1380/07/13,130
1380/07/14,143
1380/07/15,157
1380/07/16,160
1380/07/17,121
1380/07/18,114
1380/07/19,102
1380/07/20,110
1380/07/21,166
1380/07/22,170
1380/07/23,142
1380/07/24,165
1380/07/25,131
1380/07/26,100
1380/07/27,96
1380/07/28,84
1380/07/29,125
1380/07/30,157
1380/08/01,97
1380/08/02,132
1380/08/03,120
1380/08/04,86
1380/08/05,119
1380/08/06,116
1380/08/07,103
1380/08/08,150
1380/08/09,175
1380/08/10,97
1380/08/11,120
1380/08/12,149
1380/08/13,184
1380/08/14,208
1380/08/15,221
1380/08/16,167
1380/08/17,110
1380/08/18,127
1380/08/19,176
1380/08/20,168
1380/08/21,78
1380/08/22,68
1380/08/23,90
1380/08/24,130
1380/08/25,150
1380/08/26,139
1380/08/27,58
1380/08/28,42
1380/08/29,73
1380/08/30,113
1380/09/01,120
1380/09/02,100
1380/09/03,93
1380/09/04,82
1380/09/05,135
1380/09/06,89
1380/09/07,130
1380/09/08,65
1380/09/09,54
1380/09/10,53
1380/09/11,86
1380/09/12,74
1380/09/13,62
1380/09/14,61
1380/09/15,100
1380/09/16,101
1380/09/17,81
1380/09/18,129
1380/09/19,97
1380/09/20,91
1380/09/21,71
1380/09/22,87
1380/09/23,87
1380/09/24,58
1380/09/25,70
1380/09/26,61
1380/09/27,113
1380/09/28,127
1380/09/29,118
1380/09/30,90
1380/10/01,78
1380/10/02,102
1380/10/03,117
1380/10/04,143
1380/10/05,122
1380/10/06,142
1380/10/07,160
1380/10/08,117
1380/10/09,136
1380/10/10,112
1380/10/11,69
1380/10/12,95
1380/10/13,95
1380/10/14,89
1380/10/15,72
1380/10/16,97
1380/10/17,80
1380/10/18,71
1380/10/19,67
1380/10/20,61
1380/10/21,90
1380/10/22,60
1380/10/23,87
1380/10/24,72
1380/10/25,161
1380/10/26,118
1380/10/27,100
1380/10/28,80
1380/10/29,60
1380/10/30,85
1380/11/01,84
1380/11/02,82
1380/11/03,70
1380/11/04,53
1380/11/05,60
1380/11/06,81
1380/11/07,96
1380/11/08,132
1380/11/09,72
1380/11/10,69
1380/11/11,75
1380/11/12,60
1380/11/13,69
1380/11/14,90
1380/11/15,63
1380/11/16,76
1380/11/17,101
1380/11/18,130
1380/11/19,134
1380/11/20,93
1380/11/21,111
1380/11/22,88
1380/11/23,74
1380/11/24,106
1380/11/25,70
1380/11/26,67
1380/11/27,70
1380/11/28,56
1380/11/29,59
1380/11/30,74
1380/12/01,75
1380/12/02,80
1380/12/03,100
1380/12/04,102
1380/12/05,45
1380/12/06,70
1380/12/07,58
1380/12/08,77
1380/12/09,73
1380/12/10,67
1380/12/11,115
1380/12/12,130
1380/12/13,118
1380/12/14,132
1380/12/15,64
1380/12/16,97
1380/12/17,98
1380/12/18,95
1380/12/19,90
1380/12/20,66
1380/12/21,102
1380/12/22,133
